DATAFLOW,LAST UPDATE,freq,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:NAMA_10_FTE(1.0),28/11/23 23:00:00,A,EUR,EL,1995,9913,
ESTAT:NAMA_10_FTE(1.0),28/11/23 23:00:00,A,EUR,EL,1996,10645,
ESTAT:NAMA_10_FTE(1.0),28/11/23 23:00:00,A,EUR,EL,1997,12046,
ESTAT:NAMA_10_FTE(1.0),28/11/23 23:00:00,A,EUR,EL,1998,11997,
ESTAT:NAMA_10_FTE(1.0),28/11/23 23:00:00,A,EUR,EL,1999,12985,
ESTAT:NAMA_10_FTE(1.0),28/11/23 23:00:00,A,EUR,EL,2000,13304,
ESTAT:NAMA_10_FTE(1.0),28/11/23 23:00:00,A,EUR,EL,2001,13797,
ESTAT:NAMA_10_FTE(1.0),28/11/23 23:00:00,A,EUR,EL,2002,15308,
ESTAT:NAMA_10_FTE(1.0),28/11/23 23:00:00,A,EUR,EL,2003,16249,
ESTAT:NAMA_10_FTE(1.0),28/11/23 23:00:00,A,EUR,EL,2004,17237,
ESTAT:NAMA_10_FTE(1.0),28/11/23 23:00:00,A,EUR,EL,2005,18510,
ESTAT:NAMA_10_FTE(1.0),28/11/23 23:00:00,A,EUR,EL,2006,19297,
ESTAT:NAMA_10_FTE(1.0),28/11/23 23:00:00,A,EUR,EL,2007,19908,
ESTAT:NAMA_10_FTE(1.0),28/11/23 23:00:00,A,EUR,EL,2008,20487,
ESTAT:NAMA_10_FTE(1.0),28/11/23 23:00:00,A,EUR,EL,2009,21595,
ESTAT:NAMA_10_FTE(1.0),28/11/23 23:00:00,A,EUR,EL,2010,20537,
ESTAT:NAMA_10_FTE(1.0),28/11/23 23:00:00,A,EUR,EL,2011,19837,
ESTAT:NAMA_10_FTE(1.0),28/11/23 23:00:00,A,EUR,EL,2012,18872,
ESTAT:NAMA_10_FTE(1.0),28/11/23 23:00:00,A,EUR,EL,2013,17358,
ESTAT:NAMA_10_FTE(1.0),28/11/23 23:00:00,A,EUR,EL,2014,16881,
ESTAT:NAMA_10_FTE(1.0),28/11/23 23:00:00,A,EUR,EL,2015,16847,
ESTAT:NAMA_10_FTE(1.0),28/11/23 23:00:00,A,EUR,EL,2016,16388,
ESTAT:NAMA_10_FTE(1.0),28/11/23 23:00:00,A,EUR,EL,2017,16525,
ESTAT:NAMA_10_FTE(1.0),28/11/23 23:00:00,A,EUR,EL,2018,15800,
ESTAT:NAMA_10_FTE(1.0),28/11/23 23:00:00,A,EUR,EL,2019,15829,
ESTAT:NAMA_10_FTE(1.0),28/11/23 23:00:00,A,EUR,EL,2020,15738,
ESTAT:NAMA_10_FTE(1.0),28/11/23 23:00:00,A,EUR,EL,2021,16057,
ESTAT:NAMA_10_FTE(1.0),28/11/23 23:00:00,A,EUR,EL,2022,16661,
ESTAT:NAMA_10_FTE(1.0),28/11/23 23:00:00,A,EUR,ES,1995,16615,
ESTAT:NAMA_10_FTE(1.0),28/11/23 23:00:00,A,EUR,ES,1996,17556,
ESTAT:NAMA_10_FTE(1.0),28/11/23 23:00:00,A,EUR,ES,1997,17490,
ESTAT:NAMA_10_FTE(1.0),28/11/23 23:00:00,A,EUR,ES,1998,17728,
ESTAT:NAMA_10_FTE(1.0),28/11/23 23:00:00,A,EUR,ES,1999,18203,
ESTAT:NAMA_10_FTE(1.0),28/11/23 23:00:00,A,EUR,ES,2000,18546,
ESTAT:NAMA_10_FTE(1.0),28/11/23 23:00:00,A,EUR,ES,2001,19099,
ESTAT:NAMA_10_FTE(1.0),28/11/23 23:00:00,A,EUR,ES,2002,19760,
ESTAT:NAMA_10_FTE(1.0),28/11/23 23:00:00,A,EUR,ES,2003,20274,
ESTAT:NAMA_10_FTE(1.0),28/11/23 23:00:00,A,EUR,ES,2004,20710,
ESTAT:NAMA_10_FTE(1.0),28/11/23 23:00:00,A,EUR,ES,2005,21543,
ESTAT:NAMA_10_FTE(1.0),28/11/23 23:00:00,A,EUR,ES,2006,22187,
ESTAT:NAMA_10_FTE(1.0),28/11/23 23:00:00,A,EUR,ES,2007,23211,
ESTAT:NAMA_10_FTE(1.0),28/11/23 23:00:00,A,EUR,ES,2008,24852,
ESTAT:NAMA_10_FTE(1.0),28/11/23 23:00:00,A,EUR,ES,2009,26164,
ESTAT:NAMA_10_FTE(1.0),28/11/23 23:00:00,A,EUR,ES,2010,26400,
ESTAT:NAMA_10_FTE(1.0),28/11/23 23:00:00,A,EUR,ES,2011,26535,
ESTAT:NAMA_10_FTE(1.0),28/11/23 23:00:00,A,EUR,ES,2012,26334,
ESTAT:NAMA_10_FTE(1.0),28/11/23 23:00:00,A,EUR,ES,2013,26619,
