id,name,nicknames,games,points_avg,total_rebounds,assists,fg_percent,field_goals,per,win_shares
7991,Rodney Charles White,,218,7.1,2.2,1.1,42.4,31.4,12.3,1.8
7992,Rory Wilbur White,,324,7.4,2.3,0.7,50.6,7.7,12.4,6.5
7993,Royce Alexander White,,3,0.0,0.0,0.0,0.0,-,-8.3,0.0
7994,Rudolph White,,124,3.1,1.0,0.9,40.8,0.0,9.2,0.2
7995,Tony F. White,,49,5.3,0.6,1.2,44.6,0.0,9.4,-0.3
7996,Willie White,,82,3.7,1.0,1.0,43.2,31.3,13.2,0.3
7997,Isaiah Whitehead,"
(The Cyclone)
",89,7.2,2.4,2.4,41.1,30.5,7.9,-0.9
7998,Jerome Clay Whitehead,,679,6.5,4.8,0.6,49.7,0.0,12.0,16.4
7999,Donald Whiteside,,30,2.0,0.4,1.2,33.3,32.4,7.2,0.1
8000,Hassan Niam Whiteside,"
(Agent Block, Count Blockula)
",511,12.6,10.8,0.6,58.6,30.8,23.9,52.0
8001,Dwayne Whitfield,,8,5.0,3.1,0.3,43.3,-,9.3,0.0
8002,Christopher Antoine Whitney,,579,6.5,1.4,2.8,39.5,36.1,13.8,21.2
8003,Henry Lee Whitney,,145,9.2,7.6,1.2,40.3,0.0,14.9,3.5
8004,Charles Vincent Whitney,,70,5.8,2.1,1.2,46.2,28.6,11.8,1.3
8005,Greg Whittington,,4,0.0,0.0,0.0,0.0,0.0,-10.2,-0.1
8006,Shayne Mitchell Whittington,,27,2.5,1.5,0.3,45.3,12.5,16.5,0.4
8007,Sidney Wicks,,760,16.8,8.7,3.2,45.9,0.0,16.2,42.4
8008,George Ronald Widby,,20,2.9,2.3,0.2,38.6,0.0,11.5,0.0
8009,Murray Neal Wier,,56,7.7,-,1.9,32.7,69.3,-,1.6
8010,Robert B. Wiesenhahn Jr.,,60,2.0,1.9,0.4,31.7,56.7,7.5,-0.7
8011,Joseph Hinman Wieskamp,,38,1.8,0.5,0.3,32.9,30.9,5.6,0.1
8012,Aaron Daniel Wiggins,,120,7.5,3.2,1.2,48.9,34.6,11.3,3.8
8013,Andrew Christian Wiggins,"
(Maple Jordan, Junior Jordan, The Prospect, Mr. Fantastic, Wiggs, Two-Way Wiggs, Air Canada)
",635,19.1,4.5,2.3,44.9,35.4,14.8,26.3
8014,Mitchell Lee Wiggins,,389,10.0,3.2,1.6,46.0,19.2,13.8,15.2
8015,Lindell Shamar Wigginton,,26,5.0,1.2,1.4,44.9,34.1,10.7,0.2
8016,Kenneth Wilburn,,54,3.9,3.9,0.5,39.1,-,13.5,0.1
8017,Brian Craig Wilcox,,66,2.0,0.5,0.5,37.0,33.3,8.8,0.1
8018,Chris Ray Wilcox,,628,8.2,4.9,0.7,54.1,0.0,15.5,26.9
8019,D.C. Wilcutt,,59,2.2,-,1.4,33.9,73.3,-,1.1
8020,Eugene Wiley,,309,4.2,7.2,0.8,46.9,-,9.3,8.3
8021,Jacob Daniel Wiley,"
(Jake)
",5,0.8,2.2,0.4,25.0,50.0,8.2,0.1
8022,Michael Anthony Wiley,,94,7.4,2.6,0.7,56.1,0.0,17.0,2.9
8023,Morlon David Wiley,,295,3.7,1.2,2.4,41.2,35.4,10.6,2.7
8024,Alva Winfred Wilfong,,268,6.8,3.4,2.1,36.1,74.4,10.8,2.7
8025,Leonard Randolph Wilkens,"
(Len)
",1077,16.5,4.7,6.7,43.2,77.4,16.8,95.5
8026,Robert Lee Wilkerson,,536,10.1,4.2,3.4,42.5,16.7,11.1,8.2
8027,Jackson Keith Wilkes,,828,17.7,6.2,2.5,49.9,13.5,16.5,71.3
8028,James Robert Wilkes,,114,4.8,2.4,0.9,46.3,0.0,11.2,2.0
8029,Damien Lamont Wilkins,,582,6.2,2.3,1.4,42.6,32.7,11.5,12.1
8030,Jacques Dominique Wilkins,,1074,24.8,6.7,2.5,46.1,31.9,21.6,117.5
8031,Eddie Lee Wilkins,,322,4.8,3.1,0.2,47.0,0.0,10.2,2.5
